Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Bakuchō Retsuden Shō: Hyper Fishing@爆釣烈伝 翔 ハイパー・フィッシング,Bakuchō Retsuden Shō: Hyper Fishing@爆釣烈伝 翔 ハイパー・フィッシング,bakuchouretsudenshouhf,Japan,1998-07-24,Starfish,Starfish,#players:1 #genre:rpg>s #gb:mono:sgb #lang:ja,7864d91f0a7ca1eec93667ba88ec1dfc,53808f56fa68ad8094d0e4ff62e06887b439be9a,485abdbc8a40b19b1de6b82b319ae14911841a249fea1eb49d167e005ca7ef4d,86db4130201ef5f8703c6a5ade5398570d8fe656e85c4d7b3a87161f212622089327557a20ff9227fec6766f2ab5797d928879ed7ca5d4b9a33707ca2b9b9c57
Banishing Racer@バニシングレーサー,Banishing Racer@バニシングレーサー,banishingracer,Japan,1991-07-26,Jaleco,Jaleco,#players:1 #genre:platformer #gb:mono #lang:ja,8fdffb08770609255ec3cd314f79f976,df121645c367d5809ed77bfe48aa537f0d61d276,f5604bf06a00c5f449d0b5869f8721535f678dcd81ff0186315bd6b00acc1647,b862e56ff698353748dadd8bfed948b807f78aec44af7606a96fcff7c9c22b9531971c26649ffe0422aa8f4a63a6a8e3f34c4b63865138ce521beeb1ab678b71
Bart Simpson's Escape from Camp Deadly,Bart Simpson's Escape from Camp Deadly: Bart no Survival Camp@Bart Simpson's Escape from Camp Deadly バートのサバイバルキャンプ,bartsimpsonsescapefromcampdeadly,Japan,1993-02-26,Imagineering,Acclaim,#players:1 #genre:platformer #gb:mono #licensed $simpsons #lang:en,0434a1320607ce8e79de69b10c7a1245,f0d855bba656b628c7dd9ed9e586853be75b790f,0ae4f084f69aa0c5506e03542d1812607e95b3d771e8a82925fb0c0afc6e5eeb,eff1e161458c43adc085d07c208d2b0aa8ad917e9b0e6be4c49e8d07cea995831cf08745fed88552153889440f4308bb15bd645aca3bee74d83dc58c1629e67f
Baseball,Baseball@Baseball ベースボール,baseball,Japan,1989-04-21,Nintendo,Nintendo,#players:2:vs #genre:sports>baseball #addon:gamelinkcable #gb:mono #lang:en,e7bcb3f5534c8363f855ba92d83cb2d9,bb613ed8d492d49db35370bec38d9f2515dc24c9,debc4ac9d7587166f4754d99955c8ed8c5ae014bb10e91764fe9e632cdbcb3fc,d22f580b7b138852eb74ea64fa83b8f928c171c5991ad53ef1e1cad500a36ed7430a76589b3c416862615215f0386bff342a7113edf63a407a1228bcc83cb398
Baseball Kids@ベースボールキッズ,Baseball Kids@ベースボールキッズ,baseballkids,Japan,1990-03-15,TOSE,Jaleco,#players:2:vs #genre:sports>baseball #addon:gamelinkcable #gb:mono #lang:en,cb62a0dd667ff4fc2f4ebe6f0aef955f,e4a49a9ecd7a9ce8bb552981e90903f21c741428,844f18524468d05b1ec3981a55d28639514170ecb07a74754b11dde098bf5827,a7dcad5fe1c10e523c3927a66849363599fb58feacbd49d96d020c67c6bfff8e0958e2d57198791895a5ab7dc6bc397b5623f35a0b40e69e23663196abe1b5e5
Batman,Batman,batman,Japan,1990-04-13,Sunsoft,Sunsoft,#players:1 #genre:action:platformer #gb:mono #licensed $batman #lang:en,03c6d84a951be6703b7458478f4277b9,ef7d6684a0f737c01a1f2cc2c6609e0f3ac1310e,d0e4ff010ab013e519abd9950ab465f3369c76e23d82927c0f39b5e259d4febf,1dee9e698f6aa91836f96a5ac4611f76254b5a4a929ad0bd16c6e9830d6bb8a0e8ee9487ee4e584755a83099d9ccb43ab7f826b0166aa1f565d71441482e8a3b
Batman: Return of the Joker,Batman: Return of the Joker@Batman: Return of the Joker リターン　オフ　ザ　ジョーカー,batmanreturnofthejoker,Japan,1992-03-28,Sunsoft,Sunsoft,#players:1 #genre:platformer #gb:mono #licensed $batman #lang:en,9550fadc917db38cacd0ecfb694f816c,149586120c3ae9c9614fa6e6a5e298cceae16c4d,a88b8b54948fc7e0550dc3e39f2bd2827dfdb71bc15e692f17c00d104f4bdbc4,6d62b7388c0d5b2aced46b54fa6d0d0856bf4a3146647121af1679c08df25e8739c339abe87207f1ce7c2692b3840d150fa2733f23cd5454e612510a1cb07a42
Batman Forever,Batman Forever@バットマンフォーエヴァー,batmanforever,Japan,1995-10-27,Probe,Acclaim,#players:1 #genre:action:platformer #gb:mono #licensed $movie $batman #lang:en,53d8596868fe081cef40ecc02d463ea3,4fab046d18addafbc625fe4cefec37098747d716,53bcc933db543b319d749110168012e06e07a08db3a27702f5eef603a1bb77cb,34bc3dd86b5fb5b2ab5e66475e19dc4bca063074e6b408d9f23fb8fa7f06098bce8cd5dc2a7e3025bcb673c2e89a21dbe4c5c3503d57a1d0452712a5639ed841
Battle Bull,Battle Bull@Battle Bull バトル・ブル,battlebull,Japan,1990-11-30,Jorudan,SETA,#players:2:vs #genre:action:maze #addon:gamelinkcable #save:password #gb:mono #lang:en,a58ad38354f16e3e6777e91dedd9ce28,74ed574d2179bdf34a6e618a86be9b3e70155370,2e83c5299e5ded2ac6e491c7a593934164be7fda3c60922e803e8104edf6ace9,000a9343b6d9e10e6423700aa7e9e60f54b7ba9548d56003b2c53e6672116123740e2e9e72e43925c1f0d2a6cfaa8245e3a74d629067d576b771cddfab225f41
Battle Crusher@バトルクラッシャー,Battle Crusher@バトルクラッシャー,battlecrusher,Japan,1995-01-25,Sun L,Banpresto,#players:1 #genre:fighting #gb:mono:sgb #licensed $compatihero $manganime $gundam #lang:ja,c2ab034ceb1dc42c96a7a9301c382d20,ae07172c69a7bdece4392016c6a6dd253623f5f8,2eb0708771791f2e126bd97e672a365c70c3d7064ecc391433545352133dad60,8a64befb09264898097df320b1bf12fdbdd3d1b0d3053189b812b5d76d3524382b77af655ccc538f492591e5a0e9081d6ce8d15e78db771868254a12ca6c5e8b
Battle Dodge Ball@バトルドッジボール,Battle Dodge Ball@バトルドッジボール,battledodgeball,Japan,1992-10-16,Sun L,Banpresto,#players:1 #genre:sports>dodgeball #gb:mono #licensed $compatihero $manganime $gundam #lang:ja,9155b3e2a243be1703a09934b2b80724,ed63709af2dd22d2abaa7e99b9dd5373b6cc91c4,ef24d0ddd2388fdc56096c14b460c5e0f6b26c13ef014a46bfee1cb6220d594b,663b8b00332ed5e4472277e338bf5d49ba414da438500e7fae559ae489a1f663327bf9c16f3bc94f75a6e58dc1a0ccfab5a0e0b7760a9cbdc829115d94f0f48f
Battle of Kingdom,Battle of Kingdom@Battle of Kingdom バトルオブキングダム,battleofkingdom,Japan,1991-12-13,Lenar,Meldac,#players:1 #genre:strategy #save:password #gb:mono #lang:ja,f7aa9880db8e7884618ff0dcab6fba85,5761f47a09f91a373bda96840fe2560bff1ffc97,72e94819172659de737aefc7eb2f3a8a8b585054b29c20b02cb1baef22c32a53,599a9db434036f9998f14df3579e534333396614c69ac52280cd8cf75fc1737590fed045415e5e5e4e52a4410029935247b61d6147441c623dc05da62b4a22e3
Battle Pingpong,Battle Pingpong@Battle Pingpong バトルピンポン,battlepingpong,Japan,1990-08-31,Quest,Quest,#players:2:vs #genre:sports>pingpong #addon:gamelinkcable #save:password #gb:mono #lang:en,f24ccb89c3ff60f54600d7b063d5a6c2,5008699f7a31a1a0722114f83e94591e99b22cc0,5afbb7354d04c7e3b72fc5545944169ac2a68b09b188c841bfa0828bc907f0fe,2e547bcb82a11670789e9b25e3d4937c9cefc57c1b7db8d8775f0b5720392ae21bc6aee56e12b61f2c2612fa088dde01f9e2c1330ec658c9c75328daa89bfa89
