Screen title @ Exact,Commercial title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
BS F-Zero Grand Prix 2 (Dai-1-shū)@BS F-Zero Grand Prix 2 (第1週),,bsfzero2,Japan,1997-08-10,Nintendo,Nintendo,#players:1 #genre:racing #addon:online>satellaview #lang:ja,,,,
BS F-Zero Grand Prix 2 (Dai-2-shū)@BS F-Zero Grand Prix 2 (第2週),,bsfzero2,Japan,1997-08-17,Nintendo,Nintendo,#players:1 #genre:racing #addon:online>satellaview #lang:ja,,,,
BS F-Zero Grand Prix 2 (Practice) (10-23),,bsfzero2,Japan,,Nintendo,Nintendo,#players:1 #genre:racing #addon:online>satellaview #lang:ja #unfinished:demo,95338a78fb51efc0ae04edfde8034a26,78aef2f69c972e86cd20324ac888558eb9e2f70e,bfaa5e672be19417c99b069e7a8c418bbfa62ce9fea215aa57d98e664ba0b90b,7ea80f7fe361f8610defa9a9b1e3f3d07dece293a0e1fcdafbd3dc35b68169f6e92878271586f5ae4be3103ac3a10014002ea6cd7d5513f11f37593852d2229c
BS F-Zero Grand Prix 2 (Practice) (12-06),,bsfzero2,Japan,,Nintendo,Nintendo,#players:1 #genre:racing #addon:online>satellaview #lang:ja #unfinished:demo,c1008db81315057be63c2901a39eb1fb,cd7a87f884f436494b5c910581eed6086d041336,9dfcf1ea852d44f32a073e9754bf58eb632bf6e1a067687b245ecb9893a454cb,892704189014dfad0987bd84c1db9e843b4067e5c25d2d061f56c6bfafb86e182da12041b30f6164dfde9b61879a2dfd75d72c521c06dac33ee145449a94fe00
BS Ihatovo Monogatari (Dai-1-ya)@BS イーハトーヴォ物語 (第1夜),,bsihatovomonogatari,Japan,1997-03-02,Hect,Nintendo,#players:1 #genre:adventure #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Ihatovo Monogatari (Dai-2-ya)@BS イーハトーヴォ物語 (第2夜),,bsihatovomonogatari,Japan,1997-03-09,Hect,Nintendo,#players:1 #genre:adventure #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,52a3f714d675db3f128d1a3bce1763a0,74a213230eafac1a58dd33f16299bd5f612d131e,5f238e66d9a91151474f3914030b96bcad258c62d8855857cfed31c6737ffc4d,bc7dba1a9b78498425271ceadee7abf51ab813dc8160a0eaf83e07b8e5e82b0659aca4ce6038ef3f497f9836ce0a911e90487e6b4547e9c64a401aa1f95c51b9
BS Ihatovo Monogatari (Dai-3-ya)@BS イーハトーヴォ物語 (第3夜),,bsihatovomonogatari,Japan,1997-03-16,Hect,Nintendo,#players:1 #genre:adventure #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Ihatovo Monogatari (Dai-4-ya)@BS イーハトーヴォ物語 (第4夜),,bsihatovomonogatari,Japan,1997-03-23,Hect,Nintendo,#players:1 #genre:adventure #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Marvelous: Camp Arnold (Dai-1-shū)@BS マーヴェラス キャンプアーノルド (第1週),,bsmarvelouscamparnold,Japan,1996-11-03,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,d595866c4ee6221fbb27d0e02e629999,8d15078191f7b7b49b7dda602207456a7caf3b12,536fffbf52b614f5308f71bfc3de3928da529b18f4482c5f4dd9a7bbfe91f8c9,9a2d7277c05bd19eaffbceabffc62722a7ff199c86b92b970afc518f68c0eb74d823d399d769c193eb3aea4d501b411a848ddf50eb45d5f58e2f43448b911a42
BS Marvelous: Camp Arnold (Dai-2-shū)@BS マーヴェラス キャンプアーノルド (第2週),,bsmarvelouscamparnold,Japan,1996-11-10,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,274a29414e5a7f24d90910a10645c61a,fc3d84ad42ebda1f81ea5620f313675076b2f80b,c327b0365d5ddf2a8ec4e57fa70f7e220ca765ec12c10bb394825069f024f375,319acb5efcc9f7d00bd46ebcc3695cdece61edc4447eb6504b7d99b51b28098d1f8c5720272b9f8da71b963914463fc738c9793c90c48785cb4c95bba0728e2c
BS Marvelous: Camp Arnold (Dai-3-shū)@BS マーヴェラス キャンプアーノルド (第3週),,bsmarvelouscamparnold,Japan,1996-11-17,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,6d2e8480e3a221d5eadcaa0171770b35,c89632aec2699e3adbb449b841ec7c582aac58b2,bab47e3edd1c6dbd7a632b954429019c7645923ae428e06204edfd92daf7b2e0,1b2cd9c5248e21e18a78f00d820a4e9cbf5773e5d881b4845c06c7fcbb6c595f8e478dd91d35163f66e063511858899dba74a6201eef204c8e096ebd11b542b9
BS Marvelous: Camp Arnold (Dai-4-shū)@BS マーヴェラス キャンプアーノルド (第4週),,bsmarvelouscamparnold,Japan,1996-11-24,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,ebcf1a4c0bef82f93236f76cbc462ffa,4a7336cd58e5da4256bb7ac64716bd9fac445be4,30d511fdb273d627943ab518edc7164175fc6f5e7e187db1192353108950379b,14deded161664abca5cbc90c5ee45c0c3447acc195c22abe99ca6c9ddbcdb72647fe5500f4703406bb8a4c1c73f705113156082ccd08b2bfa042fca9d8f2f98b
BS Marvelous: Time Athletic (Dai-1-shū)@BS マーヴェラス タイムアスレチック (第1週),,bsmarveloustimeathletic,Japan,1996-01-07,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,46c5bf023e41d9f806c4b6a8dabef733,4d63a2457303bb55b5f647614c321881155dedaa,6a5a0bd0d79b1a67ad787ab49c54b2424f1e89542e4a6e2d42b33a661447cef6,2d9f5f42773704cd4ce2185d706a3d119a064151730c2a4d6c882b127633923f04593ff9dc8378aeffe4fd39d8e5e0e81c255f042d0da8b382dffec34c272af4
BS Marvelous: Time Athletic (Dai-2-shū)@BS マーヴェラス タイムアスレチック (第2週),,bsmarveloustimeathletic,Japan,1996-01-14,Nintendo/SRD,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,3ea370ec21a2a500c912f6f16d19069c,f9347676f342a3d692f1af799ea0b7f84711e80b,72980ba1572deb018bedca3a65dc3319d6758fdea640ec995d01ecf64907ed26,5fa24ccef184591a9ade79d90bbd47a2297168245b44791edf1949170ed76d7b717354890c7cada481b739cc86a34500fd351ead96d321ac372ab9c4b14d49b4
