Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Lady Maker,Lady Maker レディーメーカー,Lady Maker,Lady Maker レディーメーカー,ladymaker,Japan,1991,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjlstory>ladymakr,d6075b59741d6708c83871d6cc8c4205,288d58d13c39cbcf26058ea6e1daa693aefbd34c,1fe125156cb6d6dcb6c81bcc027a01483d934da9d83fbd15d965f625b5376df1,6408fb295ed9e4b4c8c90aab4f3ac244f5edfe996774ac128d56bacbfec912aa8c453d18195c06bc9e6324d7a51d6eccbfa6243336ec1bfeb213cb352803195a
LD Mahjong Dai-1-dan: Marine Blue no Hitomi,LD麻雀 第1弾 マリンブルーの瞳,LD Mahjong Dai-1-dan: Marine Blue no Hitomi,LD麻雀 第1弾 マリンブルーの瞳,ldmahjongdaiichidanmarinebluenohitomi,Japan,1991-01,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:ldmj1mbh,6e7f602166a67c8dc0bd2487b7a070bc,e51b274ad9a794b2740eac7fc4bae269e430e438,4037acdfcce1661763630ff09fed13969c7cd1d6f78472464f09e6746662aaae,e146e1f1b613fa3595013141c05eed1eaf0c02c4e949fe265bb66001a4b5266879d23ea51b331e8c5979112f6e1e26f612b733840384995aecf83acb81fb097c
LD Mahjong Dai-2-dan: Marine Blue no Hitomi 2,LD麻雀 第1弾 マリンブルーの瞳2,LD Mahjong Dai-2-dan: Marine Blue no Hitomi 2,LD麻雀 第1弾 マリンブルーの瞳2,ldmahjongdainidanmarinebluenohitomi2,Japan,1991-03,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-3-dan: Tomari ni Oideyo,LD麻雀 第3弾 泊まりにおいでよ,LD Mahjong Dai-3-dan: Tomari ni Oideyo,LD麻雀 第3弾 泊まりにおいでよ,ldmahjongdaisandantomarinioideyo,Japan,1991-06,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-4-dan: Shabon-Dama,LD麻雀 第4弾 シャボン玉,LD Mahjong Dai-4-dan: Shabon-Dama,LD麻雀 第4弾 シャボン玉,ldmahjongdaiyondanshabondama,Japan,1991,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:shabdama,6e7f602166a67c8dc0bd2487b7a070bc,e51b274ad9a794b2740eac7fc4bae269e430e438,4037acdfcce1661763630ff09fed13969c7cd1d6f78472464f09e6746662aaae,e146e1f1b613fa3595013141c05eed1eaf0c02c4e949fe265bb66001a4b5266879d23ea51b331e8c5979112f6e1e26f612b733840384995aecf83acb81fb097c
LD Mahjong Dai-5-dan: Yoake no Cafe Terrace,LD麻雀 第5弾 夜明けのカフェテラス,LD Mahjong Dai-5-dan: Yoake no Cafe Terrace,LD麻雀 第5弾 夜明けのカフェテラス,ldmahjongdaigodanyoakenocafeterrace,Japan,1992-07,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-6-dan: Tiffany,LD麻雀 第6弾 ティファニー,LD Mahjong Dai-6-dan: Tiffany,LD麻雀 第6弾 ティファニー,ldmahjongdairokudantiffany,Japan,1992,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-7-dan: Jealousy,LD麻雀 第7弾 ジェラシー,LD Mahjong Dai-7-dan: Jealousy,LD麻雀 第7弾 ジェラシー,ldmahjongdainanadanjealousy,Japan,1993-03,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-8-dan: Burusera,LD麻雀 第8弾 ブルセラ,LD Mahjong Dai-8-dan: Burusera,LD麻雀 第8弾 ブルセラ,ldmahjongdaihachidanburusera,Japan,1993-10,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-9-dan: Pocketbell 1919,LD麻雀 第9弾 ポケベル1919,LD Mahjong Dai-9-dan: Pocketbell 1919,LD麻雀 第9弾 ポケベル1919,ldmahjongdaikyuudanpocketbell1919,Japan,1994-04,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-10-dan: Bodycon Sōshūhen,LD麻雀 第10弾 ボディコン総集編,LD Mahjong Dai-10-dan: Bodycon Sōshūhen,LD麻雀 第10弾 ボディコン総集編,ldmahjongdaiyuudanbodyconsoushuuhen,Japan,1994-07,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
LD Mahjong Dai-11-dan: Eros no Yakata,LD麻雀 第11弾 エロスの館,LD Mahjong Dai-11-dan: Eros no Yakata,LD麻雀 第11弾 エロスの館,ldmahjongdaiyuuichidanerosnoyakata,Japan,1994-11,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
