Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Tsuppari Oozumō: Heisei Ban@つっぱり大相撲 平成版,Tsuppari Oozumō: Heisei Ban@つっぱり大相撲 平成版,tsupparioozumouheiseiban,Japan,1993-02-19,Naxat,Naxat,#players:2:vs #genre:fighting:sports>sumo #addon:pcemultitap:tennokoe #save:backup:password #port:famicom #lang:ja,6c75e08df27d78da7e6607782374576d,24df2dfec320b5dd04cf3d01cc586954bd33f72d,8723c11ec54b2c52cedd5619c4852ce4632d30285433d23cf14c6819b3610c31,c71d823a5637c3fa0fd65c920ccaf40ad68b88830c985596fb412266418e4e88da829b7403454b009dc61d1e63ef257d1adea071f6df362ebf3f001e3565ef29
Tsuru Teruhito no Jissen Kabushiki Bai Bai Game@都留照人の実戦株式倍バイゲーム,Tsuru Teruhito no Jissen Kabushiki Bai Bai Game@都留照人の実戦株式倍バイゲーム,tsuruteruhitonojissenkbbg,Japan,1989-11-01,Intec,Intec,#players:1 #genre:strategy:educational #lang:ja,191df80c4ead5f5acdb24c7ec2c93331,b07b7365f07607b5d528cd82bdcfeab40fb1afc4,2342573c3e5999db0f0914a2ea0488cfdc6eb1e696660143c1416d21bb21d1e7,3c82b72efc0743b07cd09a5d1aff504b6b8f3d31ff66a1532bba0fbd8f0260d887c3da680e71a47508f3717ea1ef32a576dde4421bd348dda3d3c39b2b9cbbe1
TV Sports Basketball,TV Sports Basketball@TV Sports Basketball: TVスポーツ・バスケットボール,tvsportsbasketball,Japan,1993-04-29,Cinemaware,Victor,#players:5:coop:vs #genre:sports>basketball #addon:pcemultitap #save:password #lang:ja,6bfe35219d3e479489befb2921a5ea7b,a4b8766db8acc6e8f76772b278609f80e55af67f,36e2486ca9fc4804a6618ce4d04bd8febea213336874d7054b15612cd8071b69,01ee8c0a51c25638dbfe7b124ece7a8a97f8f996cf71d35dd7a0254cb34f6a6eeca35d717efa3d8d87c05666bf4693fa2272edc11ec66d926d8da45edc97fe10
TV Sports Football,TV Sports Football@TV Sports Football: TVスポーツ・フットボール,tvsportsfootball,Japan,1991-03-29,Cinemaware,Victor,#players:5:coop:vs #genre:sports>football #addon:pcemultitap #save:password #lang:ja,f3ca8091a325067f442630af4cb4e53b,2ba8e2da6e2aa26722cdc5f1646163444b2bb98f,16f4b39a916e8db28f6ec4094d0612de82bb5ad40a30aceb8488752376b08d8f,7e253abb842aa703fe15cdf5a24c2261acfa706b169e90c0de45a6ad5d41c1f0039d86280ac82fab89f36c32e6ea21a4eca82f98b14669cdc235ed782ce3b846
TV Sports Hockey,TV Sports Hockey@TV Sports Hockey: TVスポーツ・アイスホッケー,tvsportshockey,Japan,1993-04-29,Cinemaware,Victor,#players:5:coop:vs #genre:sports>hockey #addon:pcemultitap #save:password #lang:ja,94d50a7e9871935c32a97c11e27de39a,7ef8bc6e42c4bf023802a659c7856670dae02449,0c4605a3c5fe9c035dda9478cbe06bf92884198dac112e2060435c9469d0b5b1,d16b5f8cbdcfa7cb66fb56e4f103f92679904d840e056908782d6e5ec049823ad06efbf75720c2822436e738f96d80ef972ce40e45d3d859d6016df06ffb3e48
USA Pro Basketball@USAプロバスケットボール,USA Pro Basketball@USAプロバスケットボール,usaprobasketball,Japan,1989-12-01,Aicom,Aicom,#players:2:vs #genre:sports>basketball #addon:pcemultitap #lang:ja,63b5ffe340e140aa2b4b2c6c8635934b,62f3e0c56d22c015bea15fe04cd16fae380fefcd,1f1c0158a3bfc25001ac7ccf0e65ca320109199c6d20af666d71f608a26456de,1f9f88555b50caedcd787f8afc9e274b31bcba81202f8a926ce753cfb80462c8587b522d4362cd92ba88e9ff7e1359eae96e7d55b989abaf4e2b5d64e58e5dd8
Valkyrie no Densetsu@ワルキューレの伝説,Valkyrie no Densetsu@ワルキューレの伝説,valkyrienodensetsu,Japan,1990-08-09,NAMCO,NAMCOT,#players:1 #genre:runandgun:rpg>a #save:password #port:arcade #lang:ja,f08a37d37a69315652e1a0ec8dbba650,2054898ae28f962d2e20cdaca62e8b88e932f304,633e6cea16faa32a135099f6002ef08f253781ea26a03add646f18fcfecc71ce,ff5c1a995f3135f3746283f15eabf2ae02686bfa35bf406dadb073e7dd61914b2e7efed62843d51914abfa2f99678235f5fd5024bf97657673502c268584cdcb
Veigues: Tactical Gladiator,Veigues: Tactical Gladiator@Veigues ヴェイグス Tactical Gladiator,veiguestacticalgladiator,Japan,1990-06-29,Victor,Victor,#players:1 #genre:runandgun #port:pc88 #lang:ja,98e5da6e3b6bf779a419149e5d97a53c,da66c085ecbb317cb160cb192142a3d2c044f26f,875068212848f6016ff90ada41d76386e06f7f8f724a1f5935707ac8436b35d1,ee1236d4ecb5e6583544392bcbf4f886d7d499fa8f3afc18fe69552b58511893d00d11ab870666b50bf2d7c1c198ebb91d2b9c0be805d67d1ef4c49eb4d524cd
Victory Run,Victory Run: Eikō no 13‚000km@ビクトリーラン 栄光の13‚000キロ,victoryrun,Japan,1987-12-28,Hudson,Hudson,#players:1 #genre:racing #lang:en,1a09d66caead5bc0f7669dc1af346d9c,68044c5fb23f27697ff88657a22ef60ff6d61396,5e2bce8efbba82bd89efd571c3534360344797262a5762cdf253aa61e01523a1,a0620e03d23361aa8fc33e7c5098e413c2d8708ecfc0e55dc59f5554ee5602472a78ca1bdb6ad500c01dc74ec86c645b18e204abe4972e69a6d483b2f0555846
Vigilante,Vigilante@Vigilante ビジランテ,vigilante,Japan,1989-01-14,Irem,Irem,#players:1 #genre:hackandslash #port:arcade #lang:en,4333192a22a121772356d3821d445a69,a43ddb6b9d70c7597788abd363b5df719b70bc46,2581fae9ab10ca6da900c09c68594e632d394b9a1eb885f4cd01e0f1382a1cb6,1fc3b6358d8ddf6438c25e4014d6d67ddb91d534ac22ad4c6dd04c79142eed14b9cb1fe66dee33d7eca7f9a4272a239d74c0549ef8e90aa63ab68271d687bbbb
