Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,piacarroteyoukoso,Japan,1997-05-23,Cocktail,Cocktail,#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #lang:ja
Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You & Can Can Bunny Extra DX@Pia♡キャロットへようこそ!! We've Been Waiting for You & きゃんきゃんバニー Can Can Bunny エクストラ DX,piacarroteyoukoso,Japan,1997-11-28,Cocktail,Cocktail,#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #reboxed #multigame:compilation #lang:ja
Power Dolls,Power Dolls FX,powerdollsfx,Japan,1996-02-23,Kogado,NEC Home Electronics,#players:1 #genre:sim>strategy #addon:mouse>pcfx #save:backup #port:nec>pc98 #lang:ja
Return to Zork,Return to Zork,returntozork,Japan,1995-05-27,Data West,NEC Home Electronics,#players:1 #genre:adventure:puzzle #port:pc #lang:ja
Ruruli Ra Rura@ルルリ・ラ・ルラ,Ruruli Ra Rura@ルルリ・ラ・ルラ,rurulirarura,Japan,1998-02-20,NEC Interchannel,NEC Home Electronics,#players:1 #genre:action>platformer:puzzle #save:backup #lang:ja
Shanghai: Banri no Chōjō: The Great Wall@上海 万里の長城 The Great Wall,Shanghai: Banri no Chōjō: The Great Wall@上海 万里の長城 Shanghai: The Great Wall,shanghaibanrinochoujouthegreatwall,Japan,1996-03-15,ASK Kodansha,NEC Home Electronics,#players:2:vs #genre:puzzle #addon:mouse>pcfx #save:password #port:arcade #lang:ja
Sotsugyō II FX: Neo Generation@卒業II FX: Neo Generation,Sotsugyō II FX: Neo Generation@卒業II FX: Neo Generation,sotsugyou2neogeneration,Japan,1994-12-23,Head Room/Tenky,NEC Home Electronics,#players:1 #genre:sim>life #save:backup #port:nec>pc98 #lang:ja
Sotsugyō R: Graduation Real@卒業R Graduation Real,Sotsugyō R: Graduation Real@卒業R Graduation Real,sotsugyourgraduationreal,Japan,1998-01-16,Head Room,NEC Avenue,#players:1 #genre:sim>life #save:backup #lang:ja
Sparkling Feather@スパークリングフェザー Sparkling Feather,Sparkling Feather@スパークリングフェザー Sparkling Feather,sparklingfeather,Japan,1997-04-25,HuneX,NEC Home Electronics,#players:1 #genre:rpg>s #save:backup #lang:ja
Super Power League FX,Super Power League FX@Super Power League FX スーパーパワーリーグFX,superpowerleaguefx,Japan,1996-04-26,Hudson,Hudson,#players:1 #genre:sports>baseball #save:backup #search:keyword>official #lang:ja
Super Real Mahjong P.V FX@スーパーリアル麻雀 P.V FX,Super Real Mahjong P.V FX@スーパーリアル麻雀 P.V FX,superrealmahjongpvfx,Japan,1996-03-29,SETA,Naxat,#players:1 #genre:board>mahjong #addon:mouse>pcfx #port:arcade #search:keyword>strip #lang:ja
Team Innocent: The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel,Team Innocent: The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel@Team Innocent チームイノセント The Point of No Return ‟G.C.P.O.SS” Saki/Lilis/Ariel,teaminnocentetponr,Japan,1994-12-23,Hudson,Hudson,#players:1 #genre:action:adventure #save:backup #lang:ja
Tenchi Muyō! Ryōōki FX (Hakua Kaikō)@天地無用! 魎皇鬼 FX (白亜邂逅),Tenchi Muyō! Ryōōki FX (Hakua Kaikō)@天地無用! 魎皇鬼 FX (白亜邂逅),tenchimuyouryououkifx,Japan,1996-07-12,AIC Spirits/TamTam,NEC Interchannel,#players:1 #genre:adventure>visualnovel #save:backup #disc:1>2 #based:manganime #lang:ja
Tenchi Muyō! Ryōōki FX (Kiyone Hōgū)@天地無用! 魎皇鬼 FX (清音逢偶),Tenchi Muyō! Ryōōki FX (Kiyone Hōgū)@天地無用! 魎皇鬼 FX (清音逢偶),tenchimuyouryououkifx,Japan,1996-07-12,AIC Spirits/TamTam,NEC Interchannel,#players:1 #genre:adventure>visualnovel #save:backup #disc:2>2 #based:manganime #lang:ja
Tengai Makyō: Dennō Karakuri Kakutōden@天外魔境 電脳絡繰格闘伝,Tengai Makyō: Dennō Karakuri Kakutōden@天外魔境 電脳絡繰格闘伝,tangaimakyoudennoukarakurikakutouden,Japan,1995-07-28,Produce/Red,Hudson,#players:1 #genre:action:fighting #lang:ja
Tokimeki Card Paradise: Koi no Royal Straight Flush@ときめきカードパラダイス 恋のロイヤルストレートフラッシュ,Tokimeki Card Paradise: Koi no Royal Straight Flush@ときめきカードパラダイス 恋のロイヤルストレートフラッシュ,tokimekicardparadisekoinoroyalstraightflush,Japan,1996-01-26,Sonnet,Sonnet,#players:1 #genre:board>cards #addon:mouse>pcfx #search:keyword>strip #lang:ja
Tonari no Princess Rolfee!@となりのプリンセス Rolfee!,Tonari no Princess Rolfee!@となりのプリンセス Rolfee!,tonarinoprincessrolfee,Japan,1997-07-25,Fupac/Winds,NEC Home Electronics,#players:1 #genre:adventure:sim>life #save:backup #lang:ja
Voice Paradise@Voice Paradise ボイスパラダイス,Voice Paradise@Voice Paradise ボイスパラダイス,voiceparadise,Japan,1996-05-17,ASK Kodansha/Fill-in-Cafe,NEC Home Electronics,#players:1 #genre:adventure:quiz #addon:mouse>pcfx #save:backup #disc:1>2 #lang:ja
Voice Paradise@Voice Paradise ボイスパラダイス,Voice Paradise@Voice Paradise ボイスパラダイス,voiceparadise,Japan,1996-05-17,ASK Kodansha/Fill-in-Cafe,NEC Home Electronics,#players:1 #genre:adventure:quiz #addon:mouse>pcfx #save:backup #disc:2>2 #lang:ja
Wakusei Kōkitai: Little Cats@惑星攻機隊りとるキャッツ,Wakusei Kōkitai: Little Cats@惑星攻機隊りとるキャッツ,wakuseikoukitailittlecats,Japan,1997-07-04,Family Soft,NEC Home Electronics,#players:1 #genre:sim>strategy #addon:mouse>pcfx #save:backup #lang:ja
