Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Cosmic Fantasy Stories@コズミック・ファンタジー Stories,Cosmic Fantasy Stories@コズミック・ファンタジー Stories,cosmicfantasystories,Japan,1992-03-27,Telenet,Riot,#players:1 #genre:rpg>j #addon:megacd #save:backup #port:cdrom2 #lang:ja
Crime Patrol,Crime Patrol,crimepatrol,USA,1994-10,American Laser Games,American Laser Games,#players:2:coop #genre:shooting #addon:megacd:menacer:justifier:mouse>md #lang:en
Cyborg 009@サイボーグ009,Cyborg 009@サイボーグ009,cyborg009cd,Japan,1993-07-30,Telenet,Riot,#players:1 #genre:action #addon:megacd:backupramcart #save:backup #based:manganime #lang:ja
Daihōshinden@大封神伝,Daihōshinden@大封神伝,daihoushinden,Japan,1995-02-24,MBA/Flashback/Ocarina System/Grouper,Victor,#players:1 #genre:rpg>j #addon:megacd #save:backup #lang:ja
Dark Wizard,Dark Wizard,darkwizardyynm,USA,1994-03,SEGA CS2/SEGA CS3,SEGA,#players:1 #genre:rpg>s #addon:megacd:backupramcart #save:backup #lang:en
Dark Wizard: Yomigaerishi Yami no Madōshi@Dark Wizard 蘇りし闇の魔導士,Dark Wizard: Yomigaerishi Yami no Madōshi@Dark Wizard ダーク・ウィザード　蘇りし闇の魔導士,darkwizardyynm,Japan,1993-11-12,SEGA CS2/SEGA CS3,SEGA,#players:1 #genre:rpg>s #addon:megacd:backupramcart #save:backup #lang:ja
Death Bringer@Death Bringer デス・ブリンガー,Death Bringer@Death Bringer デスブリンガー The Knight of Darkness,deathbringer,Japan,1992-04-17,Telenet/Opera House,Riot,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart #save:backup #port:pc98 #lang:ja
Demolition Man,Demolition Man,demolitionman,USA,1995-11-15,Alexandria/Orca,Acclaim,#players:1 #genre:action:runandgun #addon:megacd #based:movie #port:megadrive #lang:en
Dennin Aleste: Nobunaga and His Ninja Force@電忍アレスタ Nobunaga and His Ninja Force,Dennin Aleste: Nobunaga and His Ninja Force@電忍アレスタ Nobunaga and His Ninja Force,denninalestenobunagaandhisninjaforce,Japan,1992-11-27,Compile,Compile,#players:1 #genre:shmup>v #addon:megacd #lang:ja
Detonator Orgun@Detonator オーガン,Detonator Orgun@Detonator オーガン,detonatororgun,Japan,1992-07-31,Hot-B/Darts,Hot-B,#players:1 #genre:adventure #addon:megacd:backupramcart #save:backup #based:manganime #lang:ja
Devastator,Devastator,devastator,Japan,1993-05-28,Wolf Team/Telenet,Wolf Team,#players:1 #genre:action:platformer:shmup>h #addon:megacd #based:manganime #lang:ja
Double Switch,Double Switch,doubleswitch,Europe,1994-07-15,Digital Pictures,SEGA,#players:1 #genre:adventure #addon:megacd #lang:en
Double Switch,Double Switch@Double Switch ダブルスイッチ,doubleswitch,Japan,1995-03-24,Digital Pictures,SEGA,#players:1 #genre:adventure #addon:megacd #lang:ja
Double Switch,Double Switch,doubleswitch,USA,1993-12,Digital Pictures,SEGA,#players:1 #genre:adventure #addon:megacd #lang:en
Dracula Unleashed,Dracula Unleashed,draculaunleashed,Europe,1994-05,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:1>2 $dracula #lang:en
Dracula Unleashed,Dracula Unleashed,draculaunleashed,Europe,1994-05,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:1>2 $dracula #lang:en #alt
Dracula Unleashed,Dracula Unleashed,draculaunleashed,Europe,1994-05,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:2>2 $dracula #lang:en
Dracula Unleashed,Dracula Unleashed,draculaunleashed,Europe,1994-05,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:2>2 $dracula #lang:en #alt
Dracula Unleashed,Dracula Unleashed,draculaunleashed,USA,1993,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:1>2 $dracula #lang:en
Dracula Unleashed,Dracula Unleashed,draculaunleashed,USA,1993,ICOM Simulations/Viacom New Media,SEGA,#players:1 #genre:adventure #addon:megacd #save:backup #disc:2>2 $dracula #lang:en
Dragon's Lair,Dragon's Lair,dragonslair,Europe,1994-03,ReadySoft,SEGA,#players:1 #genre:action #addon:megacd #port:arcade #lang:en:fr:de:it
Dragon's Lair,Dragon's Lair@Dragon's Lair ドラゴンズ・レア,dragonslair,Japan,1994-06-03,ReadySoft,SEGA,#players:1 #genre:action #addon:megacd #lang:en:fr:de:it:ja
Dragon's Lair,Dragon's Lair,dragonslair,USA,1993-12,ReadySoft,SEGA,#players:1 #genre:action #addon:megacd #port:arcade #lang:en
Dragon's Lair,Dragon's Lair,dragonslair,USA,,ReadySoft,SEGA,#players:1 #genre:action #addon:megacd #port:arcade #lang:en #unfinished:demo
Dune,Dune,dune,Europe,1994-01,Cryo,Virgin,#players:1 #genre:adventure:strategy #addon:megacd #based:movie #port:amiga #save:backup #lang:en:fr:de:it:es:fremen
Dune,Dune,dune,USA,1993-12,Cryo,Virgin,#players:1 #genre:adventure:strategy #addon:megacd #based:movie #port:amiga #save:backup #lang:en:fr:de:it:es:fremen
Dungeon Explorer,Dungeon Explorer,dungeonexplorercd,Europe,1995,Westone/Hudson,Hudson,#players:4:coop #genre:action:maze:rpg #save:backup #addon:megacd:segatap #lang:en
Dungeon Explorer,Dungeon Explorer,dungeonexplorercd,USA,1995-04,Westone/Hudson,SEGA,#players:4:coop #genre:action:maze:rpg #save:backup #addon:megacd:segatap #lang:en
Dungeon Master II,Dungeon Master II: Skullkeep,dungeonmaster2skullkeep,Europe,1994-12,FTL,JVC,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #lang:en
Dungeon Master II,Dungeon Master II: Skullkeep@Dungeon Master II: Skullkeep ダンジョン・マスターII　スカルキープ,dungeonmaster2skullkeep,Japan,1994-03-25,FTL,Victor,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #lang:en
Dungeon Master II,Dungeon Master II: Skullkeep,dungeonmaster2skullkeep,USA,1994-09,FTL,JVC,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart:mouse>md #save:backup #port:pc #lang:en
Dynamic Country Club@ダイナミックカントリークラブ,Dynamic Country Club@ダイナミックカントリークラブ,dynamiccc,Japan,1993-07-16,SEGA AM3,SEGA,#players:4:vs #genre:sports>golf #addon:megacd:backupramcart:segatap #save:backup #port:arcade #lang:ja
Earnest Evans,Earnest Evans,earnestevans,Japan,1991-12-20,Wolf Team,Wolf Team,#players:1 #genre:action:platformer #addon:megacd #lang:ja
Earthworm Jim: Special Edition,Earthworm Jim: Special Edition,earthwormjim,Europe,1995-06,Shiny/Tommy Tallarico Studios,Interplay,#players:1 #genre:action:platformer #addon:megacd #save:password #port:megadrive #lang:en
Earthworm Jim: Special Edition,Earthworm Jim: Special Edition,earthwormjim,USA,1995-04,Shiny/Tommy Tallarico Studios,Interplay,#players:1 #genre:action:platformer #addon:megacd #save:password #port:megadrive #lang:en
Ecco,Ecco the Dolphin,eccothedolphin,Australia,,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #port:megadrive #save:password #lang:en
Ecco,Ecco the Dolphin,eccothedolphin,Europe,1993-11-05,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #port:megadrive #save:password #lang:en
Ecco,Ecco the Dolphin,eccothedolphin,Europe,,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #port:megadrive #reboxed #save:password #lang:en
Ecco,Ecco the Dolphin,eccothedolphin,USA,1993-07,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #port:megadrive #save:password #lang:en
Ecco,SEGA Classics Arcade Collection / Ecco the Dolphin,eccothedolphin,USA,1993,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #multigame:compilation #reboxed #lang:en
Ecco,Ecco the Dolphin CD,eccothedolphin,Japan,1995-02-24,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #disc:1>2 #multigame:compilation #lang:ja
Ecco: The Tides of Time,Ecco the Dolphin CD,eccothetidesoftime,Japan,1995-02-24,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #disc:2>2 #multigame:compilation #lang:ja
Ecco: The Tides of Time,Ecco: The Tides of Time,eccothetidesoftime,Europe,1995-06,Novotrade,SEGA,#players:1 #genre:action:adventure #addon:megacd #save:password #lang:en:fr:de:es
