Title,Title (exact),Title screen,Title screen (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Amidar,=,Amidar,=,amidar,USA,1982,Konami,Stern,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #mamerom:amidar>amidaru,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,Italy,1982,Konami,Olympia,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #mamerom:amidar>amidaro,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,Spain,1982,Konami,Cirsa,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:amidar>amidarc,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,,1982,Konami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:1 #lang:en #unlicensed:bootleg #mamerom:amidar>amidarb,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,,1982,Konami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:2 #lang:en #unlicensed:bootleg #mamerom:amidar>amidarb2,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amigo,=,Amigo,=,amidar,USA,1982,Konami,Computran,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:1 #lang:en #unlicensed:bootleg #mamerom:amidar>amigo,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amigo,=,Amigo,=,amidar,USA,1982,Konami,Computran,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:2 #lang:en #unlicensed:bootleg #mamerom:amidar>amigo2,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Mandanga,=,Mandanga,=,amidar,Spain,1982,Konami,Recreativos Franco,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:1 #lang:en #unlicensed:bootleg #mamerom:amidar>mandingarf,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Mandanga,=,Mandanga,=,amidar,Spain,1982,Konami,Centromatic,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:2 #lang:en #unlicensed:bootleg #mamerom:amidar>mandingac,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Mandinga,=,Mandinga,=,amidar,Spain,1982,Konami,Electrogame,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:amidar>mandingaeg,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
